"filename", "language", "C#", "XML", "JSON", "comment", "blank", "total"
"/Users/williamhou/Documents/Coding/HVGP/Final-Project-Tower-Defense/TowerDefense/Content/TileInfo.json", "JSON", 0, 0, 61, 0, 14, 75
"/Users/williamhou/Documents/Coding/HVGP/Final-Project-Tower-Defense/TowerDefense/Program.cs", "C#", 14, 0, 0, 2, 2, 18
"/Users/williamhou/Documents/Coding/HVGP/Final-Project-Tower-Defense/TowerDefense/TowerDefense.csproj", "XML", 0, 39, 0, 0, 0, 39
"/Users/williamhou/Documents/Coding/HVGP/Final-Project-Tower-Defense/TowerDefense/src/Camera/Camera2D.cs", "C#", 58, 0, 0, 4, 13, 75
"/Users/williamhou/Documents/Coding/HVGP/Final-Project-Tower-Defense/TowerDefense/src/Collision/CShape.cs", "C#", 86, 0, 0, 8, 21, 115
"/Users/williamhou/Documents/Coding/HVGP/Final-Project-Tower-Defense/TowerDefense/src/Collision/Collision.cs", "C#", 232, 0, 0, 18, 63, 313
"/Users/williamhou/Documents/Coding/HVGP/Final-Project-Tower-Defense/TowerDefense/src/Entities/Building.cs", "C#", 18, 0, 0, 0, 4, 22
"/Users/williamhou/Documents/Coding/HVGP/Final-Project-Tower-Defense/TowerDefense/src/Entities/Buildings/BasicTower.cs", "C#", 60, 0, 0, 2, 17, 79
"/Users/williamhou/Documents/Coding/HVGP/Final-Project-Tower-Defense/TowerDefense/src/Entities/Buildings/Rock.cs", "C#", 36, 0, 0, 2, 9, 47
"/Users/williamhou/Documents/Coding/HVGP/Final-Project-Tower-Defense/TowerDefense/src/Entities/Buildings/Tower.cs", "C#", 62, 0, 0, 0, 13, 75
"/Users/williamhou/Documents/Coding/HVGP/Final-Project-Tower-Defense/TowerDefense/src/Entities/Buildings/Tree.cs", "C#", 36, 0, 0, 2, 9, 47
"/Users/williamhou/Documents/Coding/HVGP/Final-Project-Tower-Defense/TowerDefense/src/Entities/Buildings/Wall.cs", "C#", 37, 0, 0, 1, 10, 48
"/Users/williamhou/Documents/Coding/HVGP/Final-Project-Tower-Defense/TowerDefense/src/Entities/Components/Components.cs", "C#", 55, 0, 0, 0, 8, 63
"/Users/williamhou/Documents/Coding/HVGP/Final-Project-Tower-Defense/TowerDefense/src/Entities/Enemies/Bandit.cs", "C#", 280, 0, 0, 56, 56, 392
"/Users/williamhou/Documents/Coding/HVGP/Final-Project-Tower-Defense/TowerDefense/src/Entities/Enemy.cs", "C#", 50, 0, 0, 0, 16, 66
"/Users/williamhou/Documents/Coding/HVGP/Final-Project-Tower-Defense/TowerDefense/src/Entities/Entity.cs", "C#", 31, 0, 0, 1, 6, 38
"/Users/williamhou/Documents/Coding/HVGP/Final-Project-Tower-Defense/TowerDefense/src/Entities/Player.cs", "C#", 91, 0, 0, 1, 20, 112
"/Users/williamhou/Documents/Coding/HVGP/Final-Project-Tower-Defense/TowerDefense/src/Game1.cs", "C#", 531, 0, 0, 69, 92, 692
"/Users/williamhou/Documents/Coding/HVGP/Final-Project-Tower-Defense/TowerDefense/src/Hashing/SpatialHashGrid.cs", "C#", 164, 0, 0, 41, 27, 232
"/Users/williamhou/Documents/Coding/HVGP/Final-Project-Tower-Defense/TowerDefense/src/Hashing/SpatialHashGridStatic.cs", "C#", 133, 0, 0, 35, 25, 193
"/Users/williamhou/Documents/Coding/HVGP/Final-Project-Tower-Defense/TowerDefense/src/LevelEditor.cs", "C#", 300, 0, 0, 18, 66, 384
"/Users/williamhou/Documents/Coding/HVGP/Final-Project-Tower-Defense/TowerDefense/src/Maths/MathFuncs.cs", "C#", 29, 0, 0, 4, 5, 38
"/Users/williamhou/Documents/Coding/HVGP/Final-Project-Tower-Defense/TowerDefense/src/Noise/Noise.cs", "C#", 66, 0, 0, 0, 16, 82
"/Users/williamhou/Documents/Coding/HVGP/Final-Project-Tower-Defense/TowerDefense/src/Noise/OpenSimplexNoise.cs", "C#", 394, 0, 0, 3, 57, 454
"/Users/williamhou/Documents/Coding/HVGP/Final-Project-Tower-Defense/TowerDefense/src/Projectiles/Projectile.cs", "C#", 164, 0, 0, 22, 33, 219
"/Users/williamhou/Documents/Coding/HVGP/Final-Project-Tower-Defense/TowerDefense/src/Sprite/AnimatedSprite.cs", "C#", 59, 0, 0, 7, 11, 77
"/Users/williamhou/Documents/Coding/HVGP/Final-Project-Tower-Defense/TowerDefense/src/Sprite/AnimationState.cs", "C#", 51, 0, 0, 6, 17, 74
"Total", "-", 3037, 39, 61, 302, 630, 4069
